"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","310.68833137778","337.034753630718","364.471612203325","364.471612203325","1183.69254534358","1346.38826027699"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","302.105721633726","347.105721633726","357.218026577935","357.218026577935","1164.07165090849","1364.07165090849"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-499.999999999989","500.000000000011","334.999999999995","335.000000000003","728.731864445919","1649.63298351714"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-499.999999999989","500.000000000011","334.999999999997","335.000000000004","-5.41433564649196E-13","728.731864445916"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","297.105721633728","352.105721633728","357.218026577935","357.218026577936","1872.73642301263","2092.73642301263"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","310.688331377777","337.034753630715","364.471612203325","364.471612203325","323.692545343582","486.388260276996"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","310.688331377782","337.03475363072","364.471612203325","364.471612203325","1903.69254534358","2066.388260277"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","302.105721633728","347.105721633728","357.218026577935","357.218026577935","1884.0716509085","2084.0716509085"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-289.670429673949","290.329570326051","-197.499999999998","152.500000000002","15.8483225204823","15.8483225204823"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-299.999999999989","300.000000000011","-1115","326.80954731435","25.4906178200785","25.4906178200785"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-299.999999999989","300.000000000011","-1115","334.356744523878","750.166546419563","750.166546419563"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-299.999999999989","300.000000000011","-451.1401739897","334.356744523878","1659.53311823189","1659.53311823189"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-299.999999999989","300.000000000011","-1115","-467.84236296071","1659.53311823189","1659.53311823189"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-299.999999999989","300.000000000011","-357.500000000014","42.4999999999855","1687.40963353644","1687.40963353644"
"017f6765-05bf-446f-9e07-bbcc002756f7.mod","4","-499.999999999989","500.000000000011","-1115","-1115","0","728.731864445904"
